=== sondes.csv ===
type,ms,lat,lon,depth,heading
I,0,38.53232193,-121.69281006,-0.9144,270.00
S,151464,38.53231812,-121.69283295,-0.9144,
S,476920,38.53231430,-121.69287109,-1.2192,
S,672336,38.53231812,-121.69288635,-1.5240,
S,713616,38.53231049,-121.69289398,-1.5240,
S,774741,38.53231812,-121.69290161,-1.5240,


=== ticks.csv ===
ms,steer,hammer,dt
91756,0x80,0x04,0
93756,0x82,0x04,0
93756,0x81,0x04,0
96756,0x85,0x04,0
97756,0x8D,0x04,0
112756,0x85,0x04,0
113756,0x80,0x04,0
115756,0x82,0x04,0
115756,0x81,0x04,0
118756,0x85,0x04,0
119756,0x8D,0x04,0
134756,0x95,0x04,0
135756,0x90,0x04,0
137756,0x92,0x04,0
137756,0x91,0x04,0
140756,0x95,0x04,0
141756,0x9D,0x04,0
156756,0x95,0x04,0
157756,0x90,0x04,0
159756,0x92,0x04,0
159756,0x91,0x04,0
162756,0x95,0x04,0
163756,0x9D,0x04,0
170535,0xFD,0x00,0
170731,0x6D,0x08,0
178756,0x65,0x08,0
179756,0x60,0x08,0
181756,0x62,0x08,0
181756,0x61,0x08,0
184756,0x65,0x08,0
185756,0x6D,0x08,0
200756,0x65,0x08,0
201756,0x60,0x08,0
203756,0x62,0x08,0
203756,0x61,0x08,0
206756,0x65,0x08,0
207756,0x6D,0x08,0
222756,0x65,0x08,0
223756,0x60,0x08,0
225756,0x62,0x08,0
225756,0x61,0x08,0
228756,0x65,0x08,0
229756,0x6D,0x08,0
244756,0x65,0x08,0
245756,0x60,0x08,0
247756,0x62,0x08,0
247756,0x61,0x08,0
250756,0x65,0x08,0
251756,0x6D,0x08,0
266756,0x65,0x08,0
266780,0xC5,0x08,0
267756,0xC0,0x08,0
269756,0xC2,0x08,0
269756,0xC1,0x08,0
272756,0xC5,0x08,0
273756,0xCD,0x08,0
288756,0xC5,0x08,0
289755,0x65,0x08,0
289756,0x60,0x08,0
291756,0x62,0x08,0
291756,0x61,0x08,0
294756,0x65,0x08,0
295756,0x6D,0x08,0
310756,0x65,0x08,0
311756,0x60,0x08,0
313756,0x62,0x08,0
313756,0x61,0x08,0
316756,0x65,0x08,0
317756,0x6D,0x08,0
332756,0x65,0x08,0
333756,0x60,0x08,0
335756,0x62,0x08,0
335756,0x61,0x08,0
335758,0x31,0x0A,0
338756,0x35,0x0A,0
339756,0x3D,0x0A,0
354756,0x35,0x0A,0
355756,0x30,0x0A,0
357756,0x32,0x0A,0
357756,0x31,0x0A,0
360756,0x35,0x0A,0
361756,0x3D,0x0A,0
376756,0x35,0x0A,0
377756,0x30,0x0A,0
379756,0x32,0x0A,0
